SampleID,Locality,Li/Ca,Al/Ca,Mg/Ca,Fe/Ca,Mn/Ca,Mn/Sr,Rb/Sr,Sr/Ca,d7Li,Altered,Age
2587,Clear Spring,9.85,0.59,0.01,0.8,0.23,0.39,0.31,0.59,1.2,,456.89
SAH-019 (2-0.2-15),Germany Valley,2.41,0.03,0.01,0.03,0.07,0.11,0.02,0.66,5.5,,457
SAH 057,Germany Valley,3.13,0.05,0.01,0.12,0.1,0.14,0.04,0.75,7.9,,457.61
SAH 024,Germany Valley,2.42,0.03,0.01,0.02,0.06,0.07,0.01,0.84,5,,457.88
SAH 013,Germany Valley,3.83,0.15,0.02,0.05,0.08,0.1,0.08,0.74,8.4,,458.21
SAH 007,Germany Valley,2.48,0.05,0.01,0.04,0.03,0.05,0.04,0.56,7,,458.53
2499 (2-0.2-15),Clear Spring,3.42,0.13,0.01,0.15,0.02,0.09,0.29,0.25,5.3,,461.27
AV-93,Antelope Range,4.11,0.22,0.01,0.27,0.14,0.28,0.16,0.52,10.3,,465.38
AV-75,Antelope Range,7.93,0.2,0.01,0.26,0.1,0.16,0.16,0.62,5.4,,466.8
AV-57,Antelope Range,10.26,0.28,0.01,0.35,0.17,0.31,0.32,0.54,4.2,,468.21
M-0111,Meiklejohn Peak,0.94,0.25,0.01,0.13,0.04,0.09,0.08,0.39,3.4,,468.22
6906,Ibex,1.55,0.13,0.01,2.1,0.52,0.7,0.05,0.74,8.8,,468.32
6895,Ibex,2.81,0.12,0.02,0.97,1.02,1.49,0.11,0.68,10.5,,468.62
7355,Ibex,1.6,0.09,0.01,1.14,1.63,2.4,0.06,0.68,6.3,,469.28
7360,Ibex,1.53,0.15,0.01,2.67,1.8,2.7,0.09,0.66,5.4,,470.16
6877,Ibex,0.72,0.16,0.01,1.86,1.24,2.91,0.06,0.43,5.1,,471.45
7507 (2-0.2-2),Ibex,1.22,0.1,0.01,1.65,1.19,2.52,0.14,0.47,5.2,,472.39
SPL 5249,Shingle Pass,0.57,0.04,0.01,0.72,0.4,1.05,0.18,0.38,5.4,,473.63
SPL 5229,Shingle Pass,0.64,0.03,0.01,0.62,0.21,0.54,0.19,0.39,6,,474.58
SPL 5209,Shingle Pass,1.63,0.2,0.01,1.36,0.5,1.21,0.35,0.42,5.4,,475.66
SPW 1385,Shingle Pass,4.87,0.46,0.01,1.49,0.24,0.49,0.26,0.48,3.4,,478.6
7539,Ibex,0.57,0.07,0.01,0.84,0.99,2.32,0.05,0.43,8.3,,482.25
7373,Ibex,1.29,0.1,0.01,0.95,0.62,1.46,0.12,0.43,7.3,,482.37
SPW 300,Shingle Pass,1.16,0.06,0.01,0.23,0.39,0.97,0.08,0.4,6.4,,482.37
LDN-7340,Ibex,1.27,0.07,0.01,1.25,0.16,0.35,0.07,0.46,13.7,,483.38
LDN 7333,Ibex,3.81,0.31,0.01,1.45,0.15,0.23,0.16,0.63,10,,484.24
7331,Ibex,0.43,0.33,0.02,3.05,0.21,0.32,0.08,0.65,9.7,,484.48
LDN-7322,Ibex,3.12,0.33,0.01,1.55,0.15,0.29,0.2,0.53,9.7,,486.2
