age,uncertainty,zone
486.78,2.57,R. Praeparabola
481.13,2.76,mid-La2?
479.37,0.57,P. proteus
477.07,0.59,S. bilobatus
473.45,0.7,O. evae
472.82,0.56,O. communis
471.78,0.56,O. communis
471.32,0.55,O. communis
470.18,0.55,J. ganada
472.01,0.55,O. morsus
469.86,0.65,L. variabilis
469.63,0.6,L. variabilis
469.53,0.62,L. variabilis
467.5,0.62,Y. crassus
465.46,3.53,U. sinicus s.z.
464.57,1.07,H. holodentata
464.2,0.55,mid-Darr
465.61,1.76,D. artus
464.5,0.64,P. elegans
462.9,1.32,D. murchisoni
458.76,2.24,D. murchisoni
458.76,0.56,P. aculeata
457.66,0.83,A. tvaerensis
456.84,0.69,A. tvaerensis
453.98,0.62,C. bicornis
454.41,0.53,C. bicornis
453.36,0.65,C. bicornis
453.16,0.57,C. bicornis
453.74,0.56,P. undatus
454.52,0.7,A. tvaerensis
453.91,0.61,A. tvaerensis
454.65,0.75,S. cervicornis
452.86,0.59,P. undatus
452.82,0.53,D. caudatus
451.71,0.53,D. caudatus
451.2,0.5,D. spiniferus
451.42,0.53,D. spiniferus
451.26,0.53,D. spiniferus
450.68,0.53,D. spiniferus
444.88,1.17,P. pacificus
443.2,2.73,M. extraordinarus
