zone,age,meter,meter_err
Cordylodus intermedius*,487.8,0,1.2
Cordylodus lindstromi*,487.3,12,1.2
Iapetognathus,486.85,30,1.8
Cordylodus angulatus,485.2,33,0.3
Rossodus manitouensis,483.22,37,0.4
Low Diversity Interval,482.3,141,10.4
Macerodus dianae,482.02,201,6
Acodus deltatus/ Oneotodus costatus,481.7,302,10.1
Oepikodus communis,475.44,470,16.8
Reutterodus andinus,472.78,568,9.8
Tripodus laevis,471.26,738,17
Histiodella altifrons,470.28,816,7.8
Histiodella sinuosa,469.59,882,6.6
Histiodella holodentata,468.9,1034,15.2
Phragmodus polonicus,465.18,1208,17.4
